time,close
1948-01-01,43.3
1948-04-01,53
1948-07-01,42.1
1948-10-01,35
1949-01-01,34.5
1949-04-01,31.6
1949-07-01,52.3
1949-10-01,57.3
1950-01-01,62.1
1950-04-01,76.6
1950-07-01,68.1
1950-10-01,67.1
1951-01-01,65.5
1951-04-01,45.5
1951-07-01,48.1
1951-10-01,46.5
1952-01-01,40
1952-04-01,43.3
1952-07-01,56.1
1952-10-01,55.8
1953-01-01,50.5
1953-04-01,48.5
1953-07-01,40.2
1953-10-01,35.6
1954-01-01,44.7
1954-04-01,52.1
1954-07-01,53.5
1954-10-01,63.8
1955-01-01,67.5
1955-04-01,63.3
1955-07-01,62.4
1955-10-01,65.6
1956-01-01,57.2
1956-04-01,47.7
1956-07-01,55.5
1956-10-01,52.7
1957-01-01,47.5
1957-04-01,45.9
1957-07-01,45.8
1957-10-01,36.8
1958-01-01,39.8
1958-04-01,51.4
1958-07-01,59.8
1958-10-01,60.5
1959-01-01,67.1
1959-04-01,64.4
1959-07-01,48.3
1959-10-01,58.2
1960-01-01,47.8
1960-04-01,44.4
1960-07-01,45.4
1960-10-01,44.3
1961-01-01,49.1
1961-04-01,58.1
1961-07-01,63
1961-10-01,64.2
1962-01-01,60.6
1962-04-01,50.8
1962-07-01,50
1962-10-01,57.2
1963-01-01,54.7
1963-04-01,58.2
1963-07-01,56.9
1963-10-01,54
1964-01-01,60.2
1964-04-01,60.1
1964-07-01,63.3
1964-10-01,62.4
1965-01-01,64.9
1965-04-01,58.7
1965-07-01,61
1965-10-01,62.8
1966-01-01,65.7
1966-04-01,59
1966-07-01,58.7
1966-10-01,52.4
1967-01-01,45.3
1967-04-01,46.8
1967-07-01,54.9
1967-10-01,55.6
1968-01-01,53.8
1968-04-01,53.5
1968-07-01,51.8
1968-10-01,56.1
1969-01-01,57.1
1969-04-01,55.5
1969-07-01,54.1
1969-10-01,52
1970-01-01,46.9
1970-04-01,51.1
1970-07-01,44.1
1970-10-01,45.4
1971-01-01,51.2
1971-04-01,53.8
1971-07-01,55.1
1971-10-01,57.6
1972-01-01,59.8
1972-04-01,58.6
1972-07-01,65.1
1972-10-01,70.5
1973-01-01,69.6
1973-04-01,65
1973-07-01,63.5
1973-10-01,63.6
1974-01-01,61.8
1974-04-01,54.7
1974-07-01,46.2
1974-10-01,30.9
1975-01-01,31.6
1975-04-01,45.1
1975-07-01,54.4
1975-10-01,54.9
1976-01-01,58.4
1976-04-01,58.2
1976-07-01,53.6
1976-10-01,56.6
1977-01-01,58.4
1977-04-01,56.8
1977-07-01,53.9
1977-10-01,59.8
1978-01-01,55
1978-04-01,60.5
1978-07-01,60.5
1978-10-01,59.4
1979-01-01,57.7
1979-04-01,52.7
1979-07-01,49.6
1979-10-01,44.8
1980-01-01,43.6
1980-04-01,30.3
1980-07-01,50.1
1980-10-01,53
1981-01-01,49.6
1981-04-01,50.7
1981-07-01,42.5
1981-10-01,37.8
1982-01-01,36.8
1982-04-01,38.3
1982-07-01,38.8
1982-10-01,42.8
1983-01-01,53.9
1983-04-01,57.5
1983-07-01,62.5
1983-10-01,69.9
1984-01-01,58.9
1984-04-01,58.1
1984-07-01,50
1984-10-01,50.6
1985-01-01,47.8
1985-04-01,47.8
1985-07-01,49.9
1985-10-01,50.7
1986-01-01,51
1986-04-01,50.5
1986-07-01,52.4
1986-10-01,50.5
1987-01-01,55
1987-04-01,57.4
1987-07-01,60
1987-10-01,61
1988-01-01,54.6
1988-04-01,59.3
1988-07-01,54.5
1988-10-01,56
1989-01-01,51.5
1989-04-01,47.3
1989-07-01,46
1989-10-01,47.4
1990-01-01,49.9
1990-04-01,49.2
1990-07-01,44.5
1990-10-01,40.8
1991-01-01,40.7
1991-04-01,50.3
1991-07-01,54.9
1991-10-01,46.8
1992-01-01,54.6
1992-04-01,53.6
1992-07-01,49.7
1992-10-01,54.2
1993-01-01,53.5
1993-04-01,49.6
1993-07-01,50.8
1993-10-01,55.6
1994-01-01,56.9
1994-04-01,58.8
1994-07-01,59
1994-10-01,56.1
1995-01-01,52.1
1995-04-01,45.9
1995-07-01,48.1
1995-10-01,46.2
1996-01-01,46.9
1996-04-01,53.6
1996-07-01,51.1
1996-10-01,55.2
1997-01-01,53.8
1997-04-01,54.9
1997-07-01,53.9
1997-10-01,54.5
1998-01-01,52.9
1998-04-01,48.9
1998-07-01,48.7
1998-10-01,46.8
1999-01-01,52.4
1999-04-01,55.8
1999-07-01,57
1999-10-01,57.8
2000-01-01,54.9
2000-04-01,51.4
2000-07-01,49.7
2000-10-01,43.9
2001-01-01,43.1
2001-04-01,43.2
2001-07-01,46.2
2001-10-01,45.3
2002-01-01,52.4
2002-04-01,53.6
2002-07-01,50.5
2002-10-01,51.6
2003-01-01,46.3
2003-04-01,49
2003-07-01,52.4
2003-10-01,60.1
2004-01-01,60.6
2004-04-01,60.5
2004-07-01,57.4
2004-10-01,57.2
2005-01-01,55.2
2005-04-01,52.4
2005-07-01,56.8
2005-10-01,55.1
2006-01-01,54.3
2006-04-01,52
2006-07-01,52.2
2006-10-01,51.4
2007-01-01,52.8
2007-04-01,54
2007-07-01,53.8
2007-10-01,50.1
2008-01-01,49.7
2008-04-01,49.9
2008-07-01,47.2
2008-10-01,34.5
2009-01-01,37.2
2009-04-01,46.3
2009-07-01,54.9
2009-10-01,55.8
2010-01-01,58.8
2010-04-01,56.5
2010-07-01,55.3
2010-10-01,56.6
2011-01-01,58.4
2011-04-01,55.8
2011-07-01,53.7
2011-10-01,53
2012-01-01,53.5
2012-04-01,49.5
2012-07-01,50.8
2012-10-01,50.1
2013-01-01,51.9
2013-04-01,51.1
2013-07-01,54.6
2013-10-01,56.5
2014-01-01,55.9
2014-04-01,55
2014-07-01,55.7
2014-10-01,55.7
2015-01-01,52.3
2015-04-01,52.6
2015-07-01,50
2015-10-01,48.8
2016-01-01,51.4
2016-04-01,52.4
2016-07-01,51
2016-10-01,54.2
2017-01-01,56.8
2017-04-01,56.1
2017-07-01,59.9
2017-10-01,59.2
2018-01-01,59.2
2018-04-01,59.7
2018-07-01,59.5
2018-10-01,54.8
2019-01-01,55.3
2019-04-01,51.3
2019-07-01,48.3
2019-10-01,47.7
2020-01-01,49.7
2020-04-01,52.2
2020-07-01,55.7
2020-10-01,60.5
2021-01-01,64.7
2021-04-01,60.6
2021-07-01,61.1
2021-10-01,58.6
2022-01-01,57
2022-04-01,53.1
2022-07-01,51
2022-10-01,48.4
2023-01-01,46.3
2023-04-01,46
2023-07-01,49
2023-10-01,47.1
2024-01-01,50.3
2024-04-01,48.5
2024-07-01,47.2
2024-10-01,49.2
2025-01-01,50.9